Feature,Importance
lap,0.5034565962619278
circuitId_20,0.12776707331888038
stop,0.12420355368953502
circuitId_17,0.043936070312422304
driverId_835,0.03373507319917277
driverId_830,0.024945147475041146
driverId_824,0.017659854500251503
circuitId_12,0.013464468087220797
driverId_831,0.011528118117980189
circuitId_71,0.009852417945461983
milliseconds,0.0089755521127891
driverId_838,0.008395988319574688
driverId_820,0.008100876767707097
driverId_834,0.007877498549845083
driverId_2,0.00523727404261613
driverId_817,0.005031686156243816
driverId_155,0.004185976479068855
circuitId_73,0.0033176651399889558
driverId_3,0.003315000305037639
driverId_10,0.003302963498739528
driverId_829,0.003236850680618784
driverId_18,0.002529176809306795
driverId_816,0.0024671430908290953
driverId_818,0.0023939989730665267
driverId_808,0.002339998388802082
driverId_826,0.002298761702669125
driverId_814,0.002061328624903621
driverId_815,0.00198156165640224
driverId_37,0.001624635076214355
driverId_8,0.00155861971641814
driverId_825,0.0015135454361487127
driverId_17,0.0014785484649137784
driverId_837,0.0014221033729284577
driverId_16,0.0013522129302039234
driverId_840,0.0012516613408143388
driverId_821,0.0009960449343594316
driverId_5,0.00036961518464566383
circuitId_13,0.00018953475183056562
circuitId_14,0.00018450399792934683
driverId_67,0.00012410525407100575
driverId_24,0.00011993446336350362
driverId_153,7.745252471105294e-05
driverId_9,4.3936225123409024e-05
driverId_839,2.9202073433199303e-05
circuitId_7,2.1385515938632393e-05
driverId_812,1.9500924634526066e-05
circuitId_5,9.2860580545319e-06
circuitId_15,6.865663203309405e-06
circuitId_70,3.1787729787427594e-06
driverId_845,1.5198234172225416e-06
driverId_4,1.4498176318094742e-06
driverId_843,6.165754850021413e-07
circuitId_69,4.904250395591984e-07
driverId_15,4.1251176879211307e-07
driverId_154,4.0114900787057285e-07
driverId_842,3.2813624787045565e-07
circuitId_3,2.597659576691451e-07
driverId_20,1.9545642932642211e-07
driverId_819,1.7220331328652795e-07
driverId_22,1.3964635121685638e-07
circuitId_9,1.2253835901536448e-07
driverId_822,9.191464248485847e-08
circuitId_35,6.522599655888898e-08
circuitId_32,3.711362112354159e-08
driverId_30,3.203752585192913e-08
driverId_828,2.3979096195474624e-08
circuitId_2,1.7263635690005133e-08
circuitId_68,1.4776808308583601e-08
driverId_823,1.304877279826162e-08
circuitId_6,1.1126620864212195e-08
driverId_833,8.957371434182807e-09
driverId_836,7.489092825620965e-09
circuitId_22,7.423271060902526e-09
driverId_846,4.685229436901556e-09
circuitId_1,4.495474231059161e-09
driverId_813,3.494225189020899e-09
driverId_807,1.0181479099261384e-09
circuitId_24,5.736069736060462e-10
driverId_841,4.3983060121462747e-10
circuitId_4,0.0
driverId_832,0.0
driverId_811,0.0
circuitId_10,0.0
circuitId_11,0.0
circuitId_34,0.0
driverId_1,0.0
driverId_39,0.0
driverId_844,0.0
driverId_13,0.0
circuitId_18,0.0
driverId_847,0.0
